Vehicle_ID,Region_Type,Vehicle_Type,Speed_kmph,Acceleration_mps2,RSU_Energy_Source,RSU_Power_kW,Traffic_Density_Vehicles_per_km,Distance_to_RSU_m,Signal_Strength_dBm,Packet_Size_KB,Transmission_Latency_ms,Energy_Consumption_J,Carbon_Emission_gCO2,Optimal_Route_Score,Carbon_Emission_Level
V0051,Suburban,Car,63.23,-2.42,Non-Renewable,8.25,106,971.02,-77.06,760,57.74,373.3,373.3,58.93,High
V0052,Urban,Truck,114.36,-1.55,Hybrid,5.19,83,481.23,-88.71,673,74.39,285.47,142.74,56.31,Low
V0053,Suburban,Bus,61.97,-2.93,Renewable,5.55,124,531.65,-75.74,688,55.62,70.3,14.06,78.62,Low
V0054,Urban,Bus,83.85,-0.19,Hybrid,9.15,179,593.56,-62.3,70,93.45,470.05,235.02,55.37,Medium
V0055,Suburban,EV,59.76,-1.19,Hybrid,7.26,60,935.73,-89.92,708,95.39,367.47,183.74,43.16,Medium
V0056,Highway,Car,47.42,0.59,Non-Renewable,2.06,65,865.3,-75.84,650,39.34,385.64,385.64,68.13,High
V0057,Highway,Bus,118.4,-1.22,Renewable,9.55,50,212.07,-45.93,864,78.88,407.61,81.52,78.52,Low
V0058,Urban,Bus,60.93,-1.2,Hybrid,3.9,41,464.92,-60.32,967,75.19,386.48,193.24,67.58,Medium
V0059,Highway,Car,109.41,1.46,Non-Renewable,2.86,24,490.8,-59.61,252,89.83,248.5,248.5,57.86,Medium
V0060,Highway,Truck,43.0,-2.71,Renewable,8.15,71,799.64,-69.83,466,47.55,380.13,76.03,82.51,Low
V0061,Suburban,Truck,41.31,2.42,Renewable,6.0,164,622.75,-56.18,465,55.39,331.26,66.25,85.9,Low
V0062,Urban,EV,23.11,2.11,Hybrid,5.47,37,671.51,-80.5,497,44.5,434.31,217.16,71.64,Medium
V0063,Suburban,Truck,85.17,1.01,Renewable,4.0,73,998.29,-49.06,561,85.79,411.11,82.22,73.46,Low
V0064,Suburban,Car,56.85,0.56,Hybrid,6.38,196,121.21,-84.17,134,26.82,68.62,34.31,87.79,Low
V0065,Suburban,Bus,106.44,2.35,Renewable,4.2,195,261.86,-57.2,216,27.77,220.5,44.1,100.31,Low
V0066,Suburban,Truck,67.32,-1.89,Non-Renewable,9.21,139,437.5,-72.94,433,40.4,65.62,65.62,85.05,Low
V0067,Suburban,EV,116.82,-2.53,Hybrid,3.72,136,380.39,-52.62,517,26.88,95.93,47.96,102.85,Low
V0068,Suburban,Truck,38.55,-1.56,Hybrid,9.07,45,70.56,-62.51,121,58.3,320.63,160.32,76.58,Medium
V0069,Suburban,Car,106.86,1.77,Renewable,6.48,123,137.19,-67.38,859,17.78,443.22,88.64,97.99,Low
V0070,Urban,EV,97.66,-2.79,Renewable,8.63,22,696.91,-81.53,570,35.42,103.92,20.78,85.49,Low
V0071,Highway,Truck,97.09,0.5,Hybrid,7.7,24,885.36,-58.16,842,91.78,252.99,126.5,63.7,Low
V0072,Suburban,EV,104.48,2.97,Renewable,7.57,98,538.52,-41.26,522,43.88,459.9,91.98,97.83,Low
V0073,Suburban,Car,96.1,2.13,Non-Renewable,4.59,197,562.23,-48.72,307,76.08,416.44,416.44,61.78,High
V0074,Suburban,Bus,82.62,0.13,Renewable,3.87,31,292.34,-87.0,324,15.78,283.85,56.77,90.77,Low
V0075,Suburban,Car,33.12,-2.62,Non-Renewable,3.69,83,779.48,-71.19,799,28.52,397.21,397.21,75.28,High
V0076,Suburban,Car,23.25,1.99,Non-Renewable,8.86,34,764.2,-43.72,69,81.7,285.21,285.21,68.03,Medium
V0077,Suburban,Car,112.08,0.59,Non-Renewable,8.56,110,608.95,-64.85,539,77.48,121.14,121.14,67.78,Low
V0078,Highway,Car,81.67,-2.31,Non-Renewable,5.52,185,252.03,-56.89,794,41.68,106.13,106.13,90.41,Low
V0079,Highway,Bus,99.65,-2.44,Non-Renewable,3.06,180,142.17,-44.37,539,95.67,134.77,134.77,68.24,Low
V0080,Suburban,Bus,68.15,2.46,Renewable,5.06,126,111.03,-46.31,782,91.51,207.91,41.58,74.01,Low
V0081,Highway,EV,31.73,1.02,Non-Renewable,6.95,175,613.06,-64.91,375,96.42,468.74,468.74,40.9,High
V0082,Urban,Truck,32.52,1.98,Renewable,5.64,50,833.78,-68.12,578,45.65,409.86,81.97,84.02,Low
V0083,Suburban,Bus,88.56,2.27,Non-Renewable,8.24,182,865.41,-73.02,941,23.76,244.76,244.76,84.37,Medium
V0084,Urban,Bus,63.03,0.43,Hybrid,9.98,97,490.44,-54.05,138,64.53,271.88,135.94,78.91,Low
V0085,Urban,Truck,40.05,0.1,Non-Renewable,3.53,177,795.06,-75.65,535,70.05,169.52,169.52,63.67,Medium
V0086,Suburban,Bus,69.16,-0.42,Hybrid,5.68,119,949.54,-77.51,757,16.92,366.96,183.48,88.61,Medium
V0087,Highway,Car,26.42,-1.1,Non-Renewable,5.45,129,311.41,-72.19,399,79.72,411.24,411.24,48.48,High
V0088,Urban,Car,78.2,-0.39,Non-Renewable,4.44,106,428.06,-81.14,133,6.72,157.51,157.51,93.19,Medium
V0089,Suburban,Truck,46.9,1.64,Non-Renewable,3.58,154,934.91,-55.24,436,50.86,68.82,68.82,88.51,Low
V0090,Urban,EV,99.76,0.61,Hybrid,2.53,66,371.32,-59.19,136,36.45,330.75,165.38,88.91,Medium
V0091,Urban,EV,51.04,2.36,Hybrid,9.1,139,918.18,-65.86,356,75.33,303.13,151.56,66.83,Medium
V0092,Urban,Truck,65.52,-0.34,Non-Renewable,5.36,105,981.99,-70.48,899,34.71,230.96,230.96,80.86,Medium
V0093,Urban,Truck,21.16,0.64,Renewable,5.98,130,678.72,-44.55,203,83.55,339.75,67.95,77.55,Low
V0094,Highway,Car,27.24,0.79,Non-Renewable,9.34,71,826.05,-88.54,489,61.52,297.78,297.78,55.08,Medium
V0095,Urban,EV,59.25,0.55,Hybrid,8.21,146,762.07,-51.54,789,80.42,162.76,81.38,74.95,Low
V0096,Urban,Bus,67.99,1.22,Non-Renewable,3.04,77,714.56,-44.9,1009,98.99,228.98,228.98,61.61,Medium
V0097,Urban,Car,80.0,-1.58,Hybrid,6.52,90,341.58,-67.68,313,69.52,242.65,121.32,70.33,Low
V0098,Highway,Truck,49.17,0.07,Hybrid,5.54,26,104.24,-62.47,784,98.57,446.11,223.06,53.33,Medium
V0099,Urban,EV,89.5,-2.37,Hybrid,8.38,126,375.9,-42.78,470,7.74,482.41,241.2,107.68,Medium
V0100,Urban,Bus,106.01,-0.69,Non-Renewable,7.79,59,683.59,-79.39,542,37.12,451.85,451.85,64.15,High
V0101,Highway,Bus,97.99,-0.07,Hybrid,7.52,121,147.4,-63.99,682,15.25,373.63,186.82,96.04,Medium
V0102,Highway,Car,23.96,0.91,Hybrid,4.72,103,61.32,-66.26,460,29.92,313.25,156.62,89.08,Medium
V0103,Highway,EV,68.05,2.7,Non-Renewable,8.44,177,182.71,-77.08,222,84.69,360.17,360.17,46.11,High
V0104,Urban,EV,30.49,0.6,Hybrid,2.42,195,729.95,-49.07,53,8.07,472.6,236.3,104.62,Medium
V0105,Highway,Truck,44.2,1.46,Non-Renewable,3.28,94,974.15,-45.02,903,54.42,162.5,162.5,87.15,Medium
V0106,Highway,EV,118.67,0.04,Hybrid,4.68,158,983.91,-50.9,689,58.88,290.8,145.4,82.84,Low
V0107,Urban,EV,34.25,0.8,Renewable,2.61,155,519.28,-80.23,521,58.31,360.32,72.06,72.13,Low
V0108,Highway,Car,69.89,-2.57,Renewable,3.88,192,875.88,-85.66,159,50.15,355.66,71.13,73.54,Low
V0109,Urban,EV,81.82,-1.47,Hybrid,8.64,166,749.99,-59.73,916,80.11,163.53,81.76,70.99,Low
V0110,Suburban,Bus,90.25,-0.83,Renewable,9.59,161,525.99,-87.15,86,17.69,314.03,62.81,89.44,Low
V0111,Highway,Car,75.96,-0.17,Non-Renewable,4.44,83,594.12,-56.36,632,34.5,408.16,408.16,79.16,High
V0112,Suburban,Car,20.98,-2.73,Renewable,4.12,118,180.37,-63.48,850,63.49,263.79,52.76,78.88,Low
V0113,Urban,Truck,52.65,-2.16,Hybrid,4.24,154,940.78,-56.86,80,70.64,406.98,203.49,71.08,Medium
V0114,Highway,EV,71.77,-1.34,Hybrid,4.22,27,384.33,-60.49,1000,43.39,211.95,105.98,87.76,Low
V0115,Urban,Truck,28.79,2.83,Non-Renewable,2.29,51,473.84,-68.86,430,88.16,472.44,472.44,42.87,High
V0116,Suburban,Bus,55.06,-1.01,Hybrid,9.42,110,688.08,-79.96,317,44.47,290.27,145.14,75.53,Low
V0117,Urban,Car,23.32,-0.11,Non-Renewable,3.71,54,367.21,-74.71,60,43.26,318.18,318.18,70.11,High
V0118,Highway,Car,27.86,-1.82,Renewable,5.36,91,291.55,-63.77,393,8.44,64.11,12.82,108.25,Low
V0119,Highway,Car,59.69,0.66,Renewable,2.08,26,649.5,-57.41,889,57.36,126.62,25.32,86.35,Low
V0120,Suburban,Bus,33.27,-1.32,Non-Renewable,8.86,82,73.73,-51.03,593,72.32,334.82,334.82,66.58,High
V0121,Urban,Bus,76.75,-1.76,Non-Renewable,7.85,23,734.69,-51.64,618,15.87,238.94,238.94,99.3,Medium
V0122,Highway,Truck,88.95,0.1,Hybrid,9.57,186,538.32,-41.37,215,34.02,278.67,139.34,100.34,Low
V0123,Suburban,Truck,100.06,-2.97,Renewable,8.25,166,625.47,-75.71,749,79.22,78.34,15.67,66.75,Low
V0124,Highway,Truck,40.02,-2.95,Non-Renewable,4.51,141,650.29,-86.44,391,39.76,425.36,425.36,60.63,High
V0125,Highway,EV,36.75,-1.69,Renewable,3.98,91,550.7,-72.72,531,27.95,403.03,80.61,90.63,Low
V0126,Urban,Car,30.46,-2.78,Non-Renewable,7.58,157,603.41,-52.84,68,68.86,133.41,133.41,77.48,Low
V0127,Highway,Car,83.64,-2.35,Renewable,4.91,129,699.6,-68.09,677,23.69,335.45,67.09,95.76,Low
V0128,Urban,Truck,90.65,-0.97,Hybrid,6.53,129,765.46,-49.11,233,90.09,418.24,209.12,64.94,Medium
V0129,Highway,Car,23.16,1.82,Renewable,2.05,56,741.08,-62.53,831,15.03,338.38,67.68,102.84,Low
V0130,Suburban,Truck,113.62,0.43,Renewable,2.5,116,876.14,-43.51,594,72.12,189.68,37.94,85.29,Low
V0131,Highway,EV,25.2,0.08,Renewable,6.28,117,229.97,-42.61,59,52.46,345.25,69.05,94.01,Low
V0132,Urban,EV,74.13,-1.24,Renewable,6.53,18,431.09,-86.53,641,87.64,144.71,28.94,56.47,Low
V0133,Urban,Bus,90.91,2.59,Renewable,8.01,88,950.41,-67.18,241,16.99,193.21,38.64,100.98,Low
V0134,Suburban,EV,107.1,-0.62,Hybrid,3.06,164,426.76,-59.52,369,69.4,158.03,79.02,76.59,Low
V0135,Highway,Truck,91.41,-2.48,Non-Renewable,6.11,24,168.63,-77.21,751,59.35,300.62,300.62,61.69,High
V0136,Highway,EV,100.17,0.7,Renewable,3.56,28,549.17,-69.65,629,50.61,98.7,19.74,83.88,Low
V0137,Suburban,Bus,53.95,-2.32,Hybrid,2.75,99,154.02,-56.12,524,51.68,469.99,235.0,79.35,Medium
V0138,Highway,Car,101.48,-0.93,Renewable,5.28,189,242.71,-78.66,909,73.59,200.08,40.02,66.87,Low
V0139,Highway,Truck,28.01,0.04,Renewable,3.31,35,998.4,-59.9,686,94.09,148.54,29.71,66.52,Low
V0140,Urban,Car,109.48,2.25,Non-Renewable,3.77,163,564.29,-55.13,476,13.67,273.45,273.45,96.93,Medium
V0141,Highway,Bus,74.76,-0.04,Renewable,4.54,163,319.86,-85.48,897,6.85,174.65,34.93,97.09,Low
V0142,Highway,Bus,101.73,1.21,Hybrid,4.08,183,995.04,-65.12,108,81.54,290.71,145.35,64.4,Low
V0143,Suburban,Bus,65.23,2.96,Hybrid,2.7,101,968.23,-76.85,485,15.28,206.83,103.42,93.76,Low
V0144,Suburban,Car,84.36,-2.21,Non-Renewable,2.72,186,468.7,-53.78,146,98.74,109.43,109.43,63.27,Low
V0145,Urban,Car,72.64,-1.35,Renewable,3.55,91,297.38,-80.52,545,63.84,169.65,33.93,71.12,Low
V0146,Highway,Car,93.16,-0.63,Hybrid,2.4,190,846.48,-45.39,836,66.83,247.3,123.65,82.71,Low
V0147,Highway,Car,28.16,-0.47,Renewable,7.01,140,729.84,-68.45,710,23.89,63.63,12.73,98.19,Low
V0148,Highway,Bus,26.04,-0.53,Renewable,4.3,51,702.59,-80.1,327,27.83,396.79,79.36,87.07,Low
V0149,Urban,Bus,44.71,2.45,Renewable,4.24,28,898.46,-68.1,314,67.64,329.82,65.96,73.83,Low
V0150,Urban,Truck,35.95,1.28,Non-Renewable,4.66,26,704.95,-69.56,58,91.42,320.61,320.61,48.48,High
V0151,Suburban,Truck,107.18,0.65,Renewable,7.3,170,319.61,-68.55,506,98.33,295.72,59.14,58.6,Low
V0152,Urban,Car,41.92,-1.14,Hybrid,8.97,85,709.17,-60.72,844,23.81,315.64,157.82,94.84,Medium
V0153,Highway,EV,117.59,1.94,Renewable,8.07,186,340.52,-63.94,322,17.74,470.59,94.12,99.45,Low
V0154,Highway,EV,53.69,2.73,Hybrid,7.82,193,771.28,-82.51,989,10.36,53.86,26.93,97.22,Low
V0155,Urban,Bus,38.21,1.93,Renewable,5.88,72,638.76,-86.72,862,87.49,71.51,14.3,57.18,Low
V0156,Highway,Bus,98.97,-2.99,Hybrid,7.55,140,123.54,-53.53,57,33.0,136.17,68.08,98.33,Low
V0157,Highway,Bus,85.87,0.82,Hybrid,6.42,116,537.19,-62.01,257,5.17,125.29,62.64,108.28,Low
V0158,Urban,Truck,69.82,-2.69,Renewable,3.73,58,376.14,-72.05,963,26.26,131.54,26.31,94.53,Low
V0159,Urban,Truck,75.54,-1.45,Renewable,3.67,64,362.14,-49.58,686,37.34,352.37,70.47,98.02,Low
V0160,Highway,Bus,91.92,-2.64,Hybrid,4.37,163,622.14,-70.6,172,99.14,256.77,128.38,53.71,Low
V0161,Highway,Bus,42.85,0.62,Non-Renewable,9.29,108,356.21,-50.2,82,54.74,496.3,496.3,67.72,High
V0162,Highway,Bus,119.63,1.12,Renewable,6.38,61,788.05,-74.71,562,24.45,152.1,30.42,93.9,Low
V0163,Suburban,EV,117.48,-2.31,Non-Renewable,7.87,109,117.25,-86.36,253,36.81,189.87,189.87,73.92,Medium
V0164,Suburban,Truck,85.03,-0.7,Renewable,4.77,126,677.37,-43.37,567,36.38,492.91,98.58,100.2,Low
V0165,Suburban,EV,39.95,-0.26,Renewable,5.26,127,818.74,-70.27,858,6.87,424.29,84.86,102.19,Low
V0166,Urban,EV,88.02,-0.79,Renewable,3.0,16,689.19,-50.37,1000,17.84,261.41,52.28,108.28,Low
V0167,Suburban,Bus,27.22,-2.27,Renewable,3.37,55,522.37,-76.04,566,71.04,299.57,59.91,68.46,Low
V0168,Urban,Bus,23.07,-0.49,Non-Renewable,8.62,55,952.79,-57.68,492,16.42,429.43,429.43,86.48,High
V0169,Urban,Car,45.77,1.51,Renewable,6.68,109,334.94,-46.33,641,26.92,266.44,53.29,105.71,Low
V0170,Suburban,Car,66.26,-2.57,Hybrid,4.7,153,68.21,-87.92,835,38.32,142.71,71.36,78.31,Low
V0171,Suburban,EV,106.83,-2.52,Hybrid,8.42,161,460.39,-48.47,738,76.98,422.8,211.4,71.7,Medium
V0172,Suburban,Truck,92.72,-0.87,Non-Renewable,3.97,198,81.36,-61.43,899,60.33,292.0,292.0,69.52,Medium
V0173,Highway,Bus,94.27,2.65,Renewable,9.81,63,956.24,-59.63,882,70.45,118.87,23.77,78.77,Low
V0174,Suburban,Bus,62.55,1.01,Hybrid,4.76,71,249.42,-63.84,388,58.87,277.51,138.76,76.71,Low
V0175,Highway,EV,54.59,1.07,Non-Renewable,4.7,138,799.48,-46.28,487,69.94,235.94,235.94,75.09,Medium
V0176,Urban,Car,57.1,-0.83,Renewable,4.5,58,785.84,-87.83,494,5.27,444.58,88.92,94.0,Low
V0177,Highway,Truck,118.76,0.56,Hybrid,2.98,34,256.84,-76.95,185,93.44,106.72,53.36,57.14,Low
V0178,Suburban,Car,24.01,-2.94,Hybrid,2.89,19,640.17,-46.21,436,15.54,443.84,221.92,103.03,Medium
V0179,Urban,Car,106.7,0.82,Non-Renewable,7.18,127,95.68,-52.38,74,43.59,280.49,280.49,82.99,Medium
V0180,Urban,Car,77.87,2.48,Renewable,9.0,153,509.4,-89.12,555,78.25,231.96,46.39,59.0,Low
V0181,Urban,Car,63.86,0.68,Renewable,8.32,195,63.91,-64.15,374,46.35,122.89,24.58,88.52,Low
V0182,Highway,Bus,92.53,2.24,Hybrid,3.13,166,925.09,-63.52,744,94.95,365.37,182.68,56.63,Medium
V0183,Suburban,Bus,68.67,1.34,Hybrid,6.36,101,977.28,-69.96,729,49.42,467.06,233.53,73.63,Medium
V0184,Urban,Car,107.34,-2.28,Hybrid,2.84,143,261.17,-75.13,387,88.12,218.92,109.46,57.9,Low
V0185,Urban,Truck,110.07,2.41,Renewable,2.36,153,247.7,-55.91,739,82.03,158.71,31.74,74.44,Low
V0186,Urban,EV,62.17,-2.6,Non-Renewable,7.25,157,766.03,-79.61,934,98.19,299.69,299.69,41.12,Medium
V0187,Highway,Truck,47.68,0.2,Non-Renewable,6.28,89,290.71,-50.05,144,93.02,408.28,408.28,53.05,High
V0188,Highway,Truck,79.24,-2.15,Renewable,2.66,80,900.32,-49.85,594,90.32,51.7,10.34,74.4,Low
V0189,Suburban,Truck,111.24,-2.93,Non-Renewable,2.28,87,595.23,-69.24,672,74.5,334.12,334.12,56.42,High
V0190,Highway,Car,41.07,-0.47,Hybrid,9.92,52,383.24,-75.82,195,39.86,318.43,159.22,79.2,Medium
V0191,Urban,Bus,82.3,-1.23,Non-Renewable,2.24,163,841.06,-75.81,942,15.08,193.17,193.17,89.9,Medium
V0192,Suburban,Truck,83.16,-0.08,Non-Renewable,5.56,99,518.74,-65.89,1002,70.42,253.14,253.14,64.19,Medium
V0193,Urban,Car,93.31,0.46,Non-Renewable,6.04,87,916.05,-54.02,280,97.97,161.13,161.13,60.95,Medium
V0194,Urban,Truck,33.16,-2.74,Hybrid,2.94,170,931.61,-72.06,833,74.03,405.45,202.72,61.82,Medium
V0195,Highway,Truck,91.58,-2.26,Renewable,3.35,35,207.15,-59.5,897,93.23,335.54,67.11,65.28,Low
V0196,Suburban,Car,110.9,0.35,Hybrid,4.81,130,52.21,-70.88,544,81.41,289.72,144.86,61.61,Low
V0197,Highway,Bus,37.97,-0.94,Renewable,8.09,54,984.73,-74.77,87,20.5,226.64,45.33,95.1,Low
V0198,Highway,Bus,43.75,1.38,Renewable,6.06,72,910.83,-88.76,474,28.67,181.12,36.22,84.47,Low
V0199,Suburban,EV,117.14,0.91,Renewable,7.1,189,102.67,-89.8,696,37.48,420.23,84.05,77.16,Low
V0200,Urban,Car,38.1,2.07,Non-Renewable,9.88,77,841.38,-78.64,895,20.98,253.13,253.13,82.53,Medium
V0201,Urban,EV,105.44,1.15,Non-Renewable,8.14,163,484.91,-69.68,796,60.26,275.65,275.65,66.25,Medium
V0202,Suburban,EV,69.23,-0.42,Renewable,5.47,11,296.01,-47.44,486,97.67,284.37,56.87,69.6,Low
V0203,Urban,EV,44.72,1.04,Renewable,5.57,151,884.81,-50.08,880,77.34,251.77,50.35,78.77,Low
V0204,Suburban,Bus,107.07,-1.35,Non-Renewable,6.95,117,236.83,-76.64,417,45.22,165.24,165.24,75.81,Medium
V0205,Suburban,Car,64.53,-1.16,Hybrid,7.32,39,949.93,-77.77,394,5.43,104.15,52.08,100.8,Low
V0206,Highway,EV,71.48,1.73,Renewable,6.01,58,245.34,-78.63,209,34.76,94.34,18.87,87.36,Low
V0207,Suburban,Car,55.92,-0.32,Hybrid,7.16,149,633.0,-73.04,599,55.04,390.86,195.43,71.19,Medium
V0208,Highway,Car,79.3,1.79,Non-Renewable,2.19,53,261.93,-65.09,711,35.8,150.59,150.59,87.03,Medium
V0209,Urban,Bus,36.35,1.93,Renewable,5.44,170,568.39,-68.07,961,15.55,75.05,15.01,102.44,Low
V0210,Urban,EV,59.11,2.15,Hybrid,4.23,22,699.78,-79.09,869,47.06,408.88,204.44,71.7,Medium
V0211,Urban,EV,116.94,2.5,Hybrid,3.03,87,230.72,-83.48,590,29.06,119.33,59.66,85.75,Low
V0212,Urban,Car,45.81,-0.41,Hybrid,2.8,135,544.84,-89.37,193,91.38,331.32,165.66,46.34,Medium
V0213,Highway,Truck,85.67,-1.09,Non-Renewable,6.83,107,495.61,-82.3,637,14.67,202.39,202.39,86.4,Medium
V0214,Urban,Bus,52.52,0.49,Non-Renewable,6.19,35,117.49,-54.73,706,9.67,106.92,106.92,107.45,Low
V0215,Suburban,Bus,97.35,-0.77,Hybrid,4.03,158,827.39,-77.82,790,5.5,236.52,118.26,97.43,Low
V0216,Suburban,Bus,33.09,0.61,Hybrid,5.77,165,368.9,-66.57,625,36.17,56.66,28.33,92.21,Low
V0217,Suburban,Bus,116.98,1.23,Non-Renewable,5.94,57,595.85,-60.43,908,67.74,428.47,428.47,59.49,High
